address,number,postal code,municipality
MILSESTRAAT,43,3053,Haasrode
Naamsesteenweg,955,3001,Heverlee
Hertogstraat,178,3001,Heverlee
Interleuvenlaan,68,3001,Heverlee
Interleuvenlaan,58,3001,Heverlee
ROMEINSE STRAAT,20,3001,Heverlee
INTERLEUVENLAAN,15/A,3001,Heverlee
INTERLEUVENLAAN,17,3001,Heverlee
CELESTIJNENLAAN,,3001,Heverlee
Kasteelpark Arenberg,10,3001,Heverlee
Tervuursevest,113,3001,Heverlee
Tervuursesteenweg,190,3001,Heverlee
Tervuursevest,101,3001,Heverlee
Vlamingenstraat,83,3000,Leuven
ANDREAS VESALIUSSTRAAT,13,3000,Leuven
Philipssite,5,3001,Heverlee
Vaartstraat,46,3000,Leuven
Brusselsestraat,52,3000,Leuven
Tiensevest,61,3000,Leuven
Arnould Nobelstraat,,3000,Leuven
Marie Theresiastraat,63,3000,Leuven
Martelarenplein,16,3000,Leuven
Vuurkruisenlaan,4,3000,Leuven
Kolonel Begaultlaan,1,3000,Leuven
Aarschotsesteenweg,58,3000,Leuven
Kolonel Begaultlaan,15,3000,Leuven
Aarschotsesteenweg,730,3000,Leuven
Stadionlaan,4,3010,Kessel-Lo
Diestsesteenweg,3,3010,Kessel-Lo
